"station"
"AIX EN PROVENCE TGV"
"ANGERS SAINT LAUD"
"ANGOULEME"
"ANNECY"
"ARRAS"
"AVIGNON TGV"
"BELLEGARDE (AIN)"
"BESANCON FRANCHE COMTE TGV"
"BORDEAUX ST JEAN"
"BREST"
"CHAMBERY CHALLES LES EAUX"
"DIJON VILLE"
"DOUAI"
"DUNKERQUE"
"GRENOBLE"
"LA ROCHELLE VILLE"
"LAVAL"
"LE CREUSOT MONTCEAU MONTCHANIN"
"LE MANS"
"LILLE"
"LYON PART DIEU"
"MACON LOCHE"
"MARNE LA VALLEE"
"MARSEILLE ST CHARLES"
"METZ"
"MONTPELLIER"
"MULHOUSE VILLE"
"NANCY"
"NANTES"
"NICE VILLE"
"NIMES"
"PARIS EST"
"PARIS LYON"
"PARIS MONTPARNASSE"
"PARIS NORD"
"PARIS VAUGIRARD"
"PERPIGNAN"
"POITIERS"
"QUIMPER"
"REIMS"
"RENNES"
"SAINT ETIENNE CHATEAUCREUX"
"ST MALO"
"ST PIERRE DES CORPS"
"STRASBOURG"
"TOULON"
"TOULOUSE MATABIAU"
"TOURCOING"
"TOURS"
"VALENCE ALIXAN TGV"
"VANNES"
